team,region,composite_score,rank
south_carolina_gamecocks,North,0.35141395558685384,1.0
jackson_state_lady_tigers,North,0.33543256554508316,2.0
georgia_lady_bulldogs,North,0.3318301298940779,3.0
lsu_tigers,North,0.32952133852056154,4.0
ucf_knights,North,0.32185562862130307,5.0
stephen_f_austin_ladyjacks,North,0.31940552317673726,6.0
troy_trojans,North,0.3183073568937971,7.0
freed_hardeman_lions,North,0.3181754345573846,8.0
charleston_cougars,North,0.3158433163243984,9.0
tennessee_lady_volunteers,North,0.3142105879096793,10.0
florida_gulf_coast_eagles,North,0.3124831126954169,11.0
belmont_bruins,North,0.30704251687361717,12.0
tulane_green_wave,North,0.3025892340999304,13.0
georgia_southern_eagles,North,0.30019867361930064,14.0
ole_miss_rebels,North,0.2973612534893139,15.0
georgia_tech_yellow_jackets,North,0.2968216192219929,16.0
louisiana_tech_lady_techsters,North,0.2937248323493154,17.0
arkansas_razorbacks,North,0.28974335414003255,18.0
tennessee_tech_golden_eagles,North,0.2877940380050223,19.0
tulsa_golden_hurricane,North,0.2864879691736826,20.0
oral_roberts_golden_eagles,North,0.2861820832216499,21.0
mercer_bears,North,0.28590131961239484,22.0
florida_state_seminoles,North,0.28326011489120545,23.0
south_florida_bulls,North,0.28069882882765895,24.0
charlotte_49ers,North,0.2789055656144463,25.0
southern_miss_lady_eagles,North,0.27538655849913535,26.0
stetson_hatters,North,0.2752599363849201,27.0
houston_cougars,North,0.2746043043689347,28.0
south_carolina_upstate_spartans,North,0.2738916955016219,29.0
furman_paladins,North,0.2733429465475369,30.0
alabama_crimson_tide,North,0.27272809471180876,31.0
se_louisiana_lady_lions,North,0.2714551769955098,32.0
memphis_tigers,North,0.2708545561876113,33.0
louisiana_ragin_cajuns,North,0.26973758762674743,34.0
wofford_terriers,North,0.2666084660174114,35.0
houston_christian_huskies,North,0.2649531257882555,36.0
rice_owls,North,0.2642382368200231,37.0
middle_tennessee_blue_raiders,North,0.26417774580429365,38.0
florida_gators,North,0.26186445418366133,39.0
miami_hurricanes,North,0.26148966338523205,40.0
gardner_webb_runnin_bulldogs,North,0.25773239857484215,41.0
high_point_panthers,North,0.255679996677743,42.0
little_rock_trojans,North,0.2526609097461214,43.0
jacksonville_state_gamecocks,North,0.252066967818406,44.0
jacksonville_dolphins,North,0.2493020187502145,45.0
elon_phoenix,North,0.24839417290798463,46.0
alabama_state_lady_hornets,North,0.2393496142097472,47.0
davidson_wildcats,North,0.23310458443648285,48.0
notre_dame_fighting_irish,South,0.3403500337714054,1.0
depaul_blue_demons,South,0.33203047318317913,2.0
murray_state_racers,South,0.32889006261504544,3.0
iowa_hawkeyes,South,0.3235973581062424,4.0
louisville_cardinals,South,0.3193493126030263,5.0
iowa_state_cyclones,South,0.31336021598670943,6.0
marquette_golden_eagles,South,0.3130240413978316,7.0
drake_bulldogs,South,0.3116083525258447,8.0
cleveland_state_vikings,South,0.3105770488592578,9.0
kansas_jayhawks,South,0.3087936880172627,10.0
kentucky_wildcats,South,0.3086042298338509,11.0
ohio_state_buckeyes,South,0.3064305451692395,12.0
iu_indianapolis_jaguars,South,0.30336680320774667,13.0
northwestern_wildcats,South,0.29816546988073794,14.0
northern_iowa_panthers,South,0.29552979982603433,15.0
indiana_hoosiers,South,0.2941840345426447,16.0
missouri_state_lady_bears,South,0.2936208968889084,17.0
michigan_wolverines,South,0.2919102050250227,18.0
northern_kentucky_norse,South,0.2917746092571428,19.0
toledo_rockets,South,0.29173698014063215,20.0
dayton_flyers,South,0.2894898626217449,21.0
michigan_state_spartans,South,0.28718797518968686,22.0
kansas_city_roos,South,0.28338223696291237,23.0
virginia_tech_hokies,South,0.2828027293495737,24.0
southern_illinois_salukis,South,0.2827551724970025,25.0
ohio_bobcats,South,0.28204348832942777,26.0
akron_zips,South,0.2817050021060995,27.0
ball_state_cardinals,South,0.2745702433137378,28.0
eastern_illinois_panthers,South,0.27449444015609636,29.0
kent_state_golden_flashes,South,0.26907378371764634,30.0
purdue_boilermakers,South,0.2684826681848442,31.0
green_bay_phoenix,South,0.26795617138670963,32.0
youngstown_state_penguins,South,0.26729912189153116,33.0
loyola_chicago_ramblers,South,0.2667902130475001,34.0
illinois_state_redbirds,South,0.2655140817297069,35.0
missouri_tigers,South,0.26362729517680045,36.0
western_michigan_broncos,South,0.26168188254447905,37.0
western_kentucky_lady_toppers,South,0.2608574101481892,38.0
austin_peay_governors,South,0.2596407418529871,39.0
unc_pembroke_braves,South,0.2564360145182063,40.0
app_state_mountaineers,South,0.2511918418483839,41.0
marshall_thundering_herd,South,0.2389918204478718,42.0
coker_cobras,South,0.22956755304861673,43.0
byu_cougars,West,0.3492720473893979,1.0
stanford_cardinal,West,0.3324443549642288,2.0
baylor_bears,West,0.32893973113260255,3.0
new_mexico_lobos,West,0.32733442484461583,4.0
south_dakota_state_jackrabbits,West,0.32617966778260876,5.0
texas_am_international_dustdevils,West,0.32115173779196854,6.0
nebraska_cornhuskers,West,0.312421037846619,7.0
gonzaga_bulldogs,West,0.30970397294951874,8.0
unlv_lady_rebels,West,0.3083762222212276,9.0
colorado_state_rams,West,0.30801569959221287,10.0
southern_utah_thunderbirds,West,0.3067045065459673,11.0
creighton_bluejays,West,0.3058149502142134,12.0
portland_pilots,West,0.30535312642090784,13.0
south_dakota_coyotes,West,0.30523708372204345,14.0
kansas_state_wildcats,West,0.30415549983239415,15.0
oregon_ducks,West,0.3031680674406591,16.0
montana_lady_griz,West,0.302449451527344,17.0
california_baptist_lancers,West,0.3002071150853452,18.0
arizona_wildcats,West,0.29540013208887167,19.0
oklahoma_sooners,West,0.29217997949018526,20.0
ut_arlington_mavericks,West,0.2902844033374808,21.0
texas_am_corpus_christi_islanders,West,0.28998544856803515,22.0
texas_longhorns,West,0.2896631468172417,23.0
wyoming_cowgirls,West,0.28878157270181654,24.0
colorado_buffaloes,West,0.2883163950224615,25.0
tarleton_state_texans,West,0.28593692044403946,26.0
utah_utes,West,0.28285099942500275,27.0
long_beach_state_beach,West,0.2827281784615109,28.0
abilene_christian_wildcats,West,0.27973307980778694,29.0
northern_arizona_lumberjacks,West,0.27712273183288766,30.0
uc_irvine_anteaters,West,0.27481732641432144,31.0
idaho_state_bengals,West,0.2734684142875357,32.0
uc_davis_aggies,West,0.27332092951710074,33.0
utah_valley_wolverines,West,0.2732706459368667,34.0
texas_state_bobcats,West,0.27316234374875387,35.0
nevada_wolf_pack,West,0.2726946152613062,36.0
montana_state_bobcats,West,0.27251978571958596,37.0
washington_state_cougars,West,0.27062297036576377,38.0
uc_santa_barbara_gauchos,West,0.2685023024425427,39.0
santa_clara_broncos,West,0.2676371798916115,40.0
north_texas_mean_green,West,0.26625189074151145,41.0
air_force_falcons,West,0.26467424897880165,42.0
ucla_bruins,West,0.26333725011879544,43.0
hawaii_rainbow_wahine,West,0.26313684191778963,44.0
san_diego_toreros,West,0.2578505312326729,45.0
grand_canyon_lopes,West,0.25534935502667444,46.0
san_francisco_dons,West,0.2540853265081815,47.0
uc_riverside_highlanders,West,0.25053824403419106,48.0
